site,name,employer,location,salary_min,salary_max,salary_currency,link
hh.ru,Middle/Senior Auto QA (Python) инженер,Auriga,,,,,https://sosnovoborsk.hh.ru/vacancy/69296359
hh.ru,Senior Python developer (удаленно),ТехноНИКОЛЬ,,,,,https://sosnovoborsk.hh.ru/vacancy/68613802
hh.ru,Senior Software engineer (Python),"Hi, Rockits!",,,,,https://sosnovoborsk.hh.ru/vacancy/69823794
hh.ru,Senior Python Разработчик / DevOps (PT Container Security),Positive Technologies,,,,,https://sosnovoborsk.hh.ru/vacancy/69775895
hh.ru,Senior Python Разработчик / DevOps (PT Container Security),Positive Technologies,,,,,https://sosnovoborsk.hh.ru/vacancy/69775898
hh.ru,Senior Python Разработчик (PT Container Security),Positive Technologies,,,,,https://sosnovoborsk.hh.ru/vacancy/69775792
hh.ru,Senior Python Developer в команду PIM-системы,СберМаркет,,,,,https://sosnovoborsk.hh.ru/vacancy/69577688
hh.ru,Senior/Lead Python-разработчик,Контур,,,,,https://sosnovoborsk.hh.ru/vacancy/69941481
hh.ru,Senior/Lead Python-разработчик,Контур,,,,,https://sosnovoborsk.hh.ru/vacancy/69941480
hh.ru,Senior/Lead Python-разработчик,Контур,,,,,https://sosnovoborsk.hh.ru/vacancy/69941310
hh.ru,Senior/Lead Python-разработчик,Контур,,,,,https://sosnovoborsk.hh.ru/vacancy/69941484
hh.ru,Senior/Lead Python-разработчик,Контур,,,,,https://sosnovoborsk.hh.ru/vacancy/69941486
hh.ru,Senior/Lead Python-разработчик,Контур,,,,,https://sosnovoborsk.hh.ru/vacancy/69941482
hh.ru,Senior/Lead Python-разработчик,Контур,,,,,https://sosnovoborsk.hh.ru/vacancy/69941487
hh.ru,Senior Python Developer (Extranet Team),"Emerging Travel Group (Ostrovok.ru, B2B.Ostrovok, RateHawk, ZenHotels)",,,,,https://sosnovoborsk.hh.ru/vacancy/70029182
hh.ru,Senior/Lead Python-разработчик,Контур,,,,,https://sosnovoborsk.hh.ru/vacancy/69941488
hh.ru,Senior/Lead Python-разработчик,Контур,,,,,https://sosnovoborsk.hh.ru/vacancy/69941485
hh.ru,Senior/Lead Python-разработчик,Контур,,,,,https://sosnovoborsk.hh.ru/vacancy/69941489
hh.ru,Разработчик СУБД (C/Python),ООО Аренадата Софтвер,,,,,https://sosnovoborsk.hh.ru/vacancy/70030991
hh.ru,Senior/Lead Python-разработчик,Контур,,,,,https://sosnovoborsk.hh.ru/vacancy/69941483
hh.ru,Senior/Lead Python-разработчик,Контур,,,,,https://sosnovoborsk.hh.ru/vacancy/69941479
hh.ru,Senior/Lead Python-разработчик,Контур,,,,,https://sosnovoborsk.hh.ru/vacancy/69941157
hh.ru,QA automation engineer (Python),ООО САЙБЕРЛИМФА,,,,,https://sosnovoborsk.hh.ru/vacancy/69678610
